,rating,reviews
0,"[('5', '19'), ('4', '42'), ('3', '20'), ('2', '14'), ('1', '6')]","[('745036163', ' February 2020', 'Excellent Souris d’Agneau.\nServed tagine style with mixed rice and a creamy sauce, this was an excellent choice. The meat was “melt in your mouth” perfectly cooked. Nice onion soup for starters, too!', '2'), ('733711275', ' December 2019', 'Pate fois gras good. Onion soup lots of cheese and onions but the latter seem to have been added to the broth without much simmer time together. Beef Tartar had little flavor other than pungent old onions. Servers virtually nonexistant most of time. Food delays...', '2'), ('728423864', ' November 2019', 'Good restaurant for a late dinner. Went there and enjoyed the food. Service was superb: the courses arrived quick enough and they constantly checked everything was going well. We were served by Pranatos.', None), ('726586749', ' November 2019', 'My sister and I enjoyed onion soup and wine on the last night of our group tour.  The soup was very good and the wine absolutely delicious.  Service was friendly and efficient.', '1'), ('716335081', ' October 2019', 'We had a light dinner at R’Yves that was wonderful. We shared a Chicken Cesar Salad and an Avocado Toast, and a glass of wine sitting at the bar.  It was very tasty.', None), ('711192336', ' September 2019', 'I decided to have dinner in hotel and regretted it ...\nI expected at least one tasty French dish ... but the menu is short, international, fashionable.\nTried onion soup and chicken - both were tasteless and obviously microwaved. I hoped to comfort myself with...', '1'), ('707697231', ' September 2019', 'A nice menu and the servings were a nice size. The prices were comparable to other restaurants in the area. The service was decent and friendly.', None), ('706606301', ' August 2019', 'Connected to our hotel, we decided to try it out. Oh, so good. I had the Sea Bass that was such a nice piece of fish. Flavorful and flaky. I wanted another. My daughter got the grilled tuna and let me taste it. I wanted...', None), ('699420637', ' August 2019', 'This restaurant is located in the lobby of the Marriott Rive Gauche and open to the outside public.\nVery clean, prices moderate for Paris, but they also have a take out counter with good inexpensive sandwiches and excellent deserts.', '1'), ('687375791', ' July 2019', 'This is a small cafe within the Marriott Rive Hotel. The food was fresh and the coffee good. It has an outside area to sit in as well as cafe style furnishings inside. Over all a nice experience.', '1')]"
1,"[('5', '2'), ('4', '1'), ('3', '1'), ('2', '0'), ('1', '0')]","[('747906266', ' February 2020', ""Nepali decoration and food was good. I'm very happy with the place. Hope to come again to eat more momo."", None), ('499297965', ' May 2017', 'On my first visit the food was a\nmazing. On the second it was good but kind of mediocre. The service was wonderful both times but the ""feel"" of the restaurant can we worked on.', None), ('383902613', ' May 2016', ""A nice little spot a bit away from the beaten track offering a selection of tasty Nepalese and Indian food. We've been there for a lunch and it is really a value for money. You can enjoy a simple salad bar and make use of..."", '1'), ('335273667', ' December 2015', 'Nice little spot situated near årstatorg. Nice portions, tasty well spiced dishes and good service. Nothing gourmet here but above average.', None)]"
2,"[('5', '487'), ('4', '198'), ('3', '82'), ('2', '35'), ('1', '29')]","[('787881385', ' April 2021', 'Have been to ROKA many times and this post lockdown lunch didn’t disappoint. \nAmazing food as usual with great service too. \nI’m not sure on the sommeliers name but she was super attentive with the wine and was so friendly with a smile at each...', None), ('781979119', ' January 2021', 'My husband and I love ROKA and in normal times love a Friday night after work. We were so excited to be able to get delivery during lockdown. The food is just as awesome. But more importantly incredible service - there was a mix up...', None), ('781095594', ' December 2020', 'There is legit nothing to complain about. Zero. Truffle sashimi is on my mind daily, I dream about this dish. So does my entire family, colleagues and friends. Visit 4-5 times a month and I would come more if I was working closer in the...', None), ('773010895', ' October 2020', 'Good buzzing atmosphere, a great example of Japanese food (in my humble opinion) my girlfriend and I thoroughly enjoyed every dish. Cocktails are okay. Would definitely go back!', '1'), ('771827558', ' September 2020', 'Fantastic food all round 10 out of 10 great, \nOnly 4 🌟 cos service lets it down slightly\nBut considering how good the food is i find forgiveness easily 💯', None), ('768951957', ' September 2020', 'We went for the tasting menu which was incredible, the only issue was there being too much food for two of us.\n\nThe quality and presentation of the food was excellent, and the atmosphere was great.', None), ('764767998', ' August 2020', 'Amazing food, lamb cutlets were perfect ! My personal favorite was the fatty tuna, absolutely delicious', None), ('759117184', ' July 2020', ""We visited Roka's mayfair branch the first weekend post lockdown. The food and service was fantastic and felt very safe with social distancing taking place and all staff members wearing a mask."", None), ('759116854', ' July 2020', 'This is my favourite of the Roka restaurants. The food is brilliant like all of them, but this one is very sleek inside whilst still maintaining the simplicity of a corner restaurant. It’s just off oxford street and it opens all day so it has...', None), ('750054695', ' March 2020', 'I took my daughter here for her 15th Birthday. It was our first visit and, having read a few good reviews of the food, I was unsure what to order for the best. Although it was £70 a head, I decided on the seasonal tasting...', None)]"
3,"[('5', '3'), ('4', '0'), ('3', '0'), ('2', '0'), ('1', '0')]",[]
4,"[('5', '6'), ('4', '13'), ('3', '3'), ('2', '1'), ('1', '0')]","[('769692437', ' September 2020', 'Typical Bavarian food with lots of choice, the menu is updated on a daily base. Beer is absolutely delicious.', '2'), ('713610591', ' September 2019', 'Courtesy and excellent food. \nThe vote is related for typical restaurant. The garden is big and you can eat also outside.\n\nThe menu outside at the self service is a little poor.', None), ('693974822', ' July 2019', 'You knew in an instant that this was a decent local place when everything was super crowded with locals and you could not get a reservation a few hours before. We showed up just the same and we were not disappointed. Originally they gave us...', '2'), ('685621912', ' May 2019', 'A large Biergarten, slightly outside the centre of Munich with over 2000 capacity and obviously very busy on a summer’s evening. We had really wanted to have the Biergarten experience in Munich, but sadly this wasn’t very enjoyable, largely because of the hostile staff. They...', '1'), ('671432282', ' May 2019', 'We came here on our first evening in Munich, as we were staying nearby - and it was just what we wanted! Great menu (one of us had the asparagus and potatoes, the other had pork knuckle - all absolutely delicious), nice and cosy, and...', None), ('667093312', ' April 2019', 'Four of us were staying in Obersendling for business, evening exploration of the area was not too promising until we stumbled across the Schuetzen Garten. The restaurant is in a lovely building with a large beer garden outside. The menu is very similar to other...', None), ('619681352', ' September 2018', 'We have been traveling through Bavaria with some local German friends and they chose to have dinner here tonight. We were a group of 8 and were seated quickly in one of the best tables in the restaurant. This is a large restaurant with 2-3...', None), ('584686381', ' May 2018', 'A very enjoyable place to eat Bavarian food.\nWe sat outside on a very warm evening. Service was friendly and welcoming. We were given advice on choosing dishes - all of which were well presented and tasty. Their own beer is very good.', None), ('583807721', ' May 2018', 'Aside from the excellent Augustiner beer this restaurant has very good authentical Bavarian food. Our group had everything from Schweinsbraten to Schweinshaxn to Schwammerl and everything was good! Plus our waitress was - rather unusual for  a Bavarian Biergarten - a real gem, very attentive...', None), ('576977665', ' April 2018', 'we enjoyed good food and good service, the garden is amazing and i can imagine how ir does look like during the October fest, it might be not directly in the center, but it is a good place to enjoy local culture', None)]"
5,"[('5', '15'), ('4', '5'), ('3', '1'), ('2', '1'), ('1', '3')]","[('776122684', ' November 2019', 'Dick’s Bar - Great Inside or Out\n\nAs on our previous visit, in November we started our stay at The Yeatman, with wines at Dick’s Bar, sitting on the lovely patio, overlooking the Douro River Valley, and across to the hills of Porto.\n\nThe morning...', None), ('771339945', ' September 2020', 'The feeling we had was that our custom was not valued. We were left for fifteen minutes whilst a waitress cleared tables and only obtained a service when we asked for it. The menu was uninspiring, to say the least. Really breaded chicken is something...', None), ('748938972', ' February 2020', ""Dick's bar has a cozy warm atmosphere in the evening, where one can have wine, dessert or a small meal. During the day one can eat or drink on the terrace or indoors overlooking the Douro and Porto. We enjoyed wine flights with ham, cheese..."", '1'), ('723263712', ' October 2019', 'This bar and veranda at the Yeatman is a perfect place to unwind, have a drink or a light bite and enjoy the spectacular views across the river to Porto.', None), ('713397538', ' September 2019', 'My husband and I walked 6 miles to get here. It’s on a steep hill but it was well worth it. We had an awesome lunch. The food was delicious, the view spectacular and the service incredible. It felt so upscale and we were in...', '1'), ('708298735', ' September 2019', 'Dicks Bar is a great bar where you can order 12 -15 different types of Gin and Tonic with Zest!  Of course they have a full selection of other cocktails and wine as well.  Remember to ask for the bar snacks.   My favorite was the...', None), ('699730805', ' August 2019', 'We came in here for a drink whilst waiting for our dinner reservation. I had been slightly bemused by some of the contradictory reviews on TripAdvisor so it was an interesting experiment! So the main thing  we were struck by was the pretty unenthusiastic welcome....', None), ('689814493', ' July 2019', 'We were staying in the hotel so were happy to dine in Dick’s Bar one evening. The terrace gives a fine view of Porto but inside is also comfortable. We enjoyed dinner enormously. Our service was polite, helpful and friendly and generally very timely. Our...', '1'), ('689595300', ' July 2019', 'We neither wanted the breakfast room (Orangery) nor the expensive 2star restaurant so chose Dick’s.\nComfortable inside or out, piano player and good enough service.\nThe wine list and serving is a Portuguese revaluation.\nWide range of prices and vintages.\nVery good sparkling wines to...', '1'), ('679105496', ' June 2019', 'vista is beautiful, staff is super professional and wants to please you! LOVE this entire experience!', None)]"
6,"[('5', '5'), ('4', '5'), ('3', '0'), ('2', '1'), ('1', '0')]","[('743412820', ' February 2020', 'Very good value for money in this restaurant at lunch, funny the t-shirt with the written “100% terroni “ adjective once offensive to indicate people coming from south of Italy', '77'), ('725346966', ' November 2019', 'When we went to this restaurant it was busy I do have to say that in fairness and people seemed to be enjoying themselves. However I struggled to find anything to recommend it. Very grimey environment and table. Over bearing waitor. My husbands first choice...', None), ('672390614', ' May 2019', 'Went twice to this Restaurant. Once I ordered a Cotoletta Milanese and the other time I ordered a Pizza. Both were great.\nService was excellent. Staff was friendly, welcoming and efficient.\nPrices are reasonable aswell', None), ('573538070', ' April 2018', 'Just a perfect good meal! With little English we could order our food. Very friendly staff and fast service! Delicious!', None), ('556660435', ' September 2017', 'Proper pizza done the proper way!\nalways look to pop in when i return home to visit family.\nhave had a good experience on many return visits', None), ('538512075', ' November 2017', 'My partner and I visited this restaurant in early November and were delighted with our dinner,  ok we speak very little Italian but we managed to order with a little help from the staff, who were more than accomodating.  We had a great meal and...', None), ('508843424', ' July 2017', 'Great food in simple surroundings. Excellent hard working staff . I had a great pizza washed down with Prosecco by the jug and good beer. No suits or posh frocks. Full of Italians on the way home from work.\nRecommended by the excellent Mial Suite...', None), ('503609231', ' July 2017', ""This unpretentious restaurant was full of locals enjoying an evening out which is always a good sign. I had one of the best Fish Soups ever and I usually choose it if it's on the menu. Prosecco by the jugful at 5€, good housewine and..."", None), ('296572579', ' August 2015', 'So the place is a bit beaten down and not fancy but the pizza here was delicious. True wood fired Italian pizza. Waiter gave good service but spoke no English. It was easy enough as they had an English translation on the menu. Well priced,...', None), ('293446405', ' July 2015', 'Excellent pizza prepared in a wood oven. The restaurant has nice and friendly staff. The restaurant is rather small, personally I prefer more open spaces, so I recommend it especially for take out.', None)]"
7,"[('5', '1'), ('4', '0'), ('3', '0'), ('2', '0'), ('1', '1')]","[('194254885', ' February 2014', 'The restarant has very nice decoration as well as nice decoration inside, also prices are good. \nI remember this restaurant from the past. I have been there once more than one year ago. Everything was fine. However, since that time the quality has gone down...', None), ('131917184', ' May 2012', 'Very tasty food with fresh pasta too, restaurant and wine shop in the beautiful Tuscan style with original italian staff, good value for money', None)]"
8,"[('5', '0'), ('4', '1'), ('3', '0'), ('2', '0'), ('1', '0')]",[]
9,"[('5', '7'), ('4', '6'), ('3', '3'), ('2', '0'), ('1', '2')]","[('747343519', ' February 2020', 'Visited the 43 Villa della Maddalena deli whilst walking through the Pigna district near to Pantheon. For between 3-5 EUR, you can order a slice of pizza (warmed if you prefer) and there are plenty of options with vegetarian choice too. The slices are heaped...', None), ('677000819', ' May 2019', 'We needed a quick stop while sightseeing and Quadro was ideal. The pizza was good and swiftly serviced, then we were on our way. Fine dining it isn’t but fast tasty snack it is.', None), ('621029393', ' September 2018', 'Clean modern atmosphere. The pizza was good service efficient. It seamed as if the price was on average of other pizza shops. Unique cashier, totally automated,staff does not handle cash. While eating observed staff pull frozen crust to make more pizza. It still was good...', None), ('603694051', ' August 2018', 'I went in with my daughters to get couple pieces of pizza. We’ve done this at a dozen other Italian pizzerias and I noticed right away when she entered 30 euro/kg on the scale (which is insanely expensive for a pizzeria) and called her on...', '2'), ('575194066', ' April 2018', 'We stopped here as we were passing between a visit to the Pantheon and the Trevi Fountain. Staff very pleasant, bright clean shop, with very nice pizza sold by the slice.\n\nEnough seating for about 6 or so people in total, with one table with...', None), ('549006897', ' December 2017', 'Perhaps best pizza on this Italian trip. The artichoke pizza, four cheese pizza and the broccoli pizza are to look for.', None), ('539125418', ' October 2017', ""I've been here a few times and it's a great place for a quick bite, good selection of sliced pizza, very clean nice staff, the staff don't touch the money when you pay which is hygienic it goes in a shoot and gives back change...."", None), ('526658518', ' August 2017', 'We stayed at the Colonna Palace and this was a couple of minutes walk away I had the Pizza with the mozzarella and tomato - just yummy', None), ('470509416', ' March 2017', 'They have three stools to perch on if you want to eat in but they are in high demand. Good choice and tasty pizza slices. A little expensive for the amount you get, and regarding one of the reports I read below purportedly from the...', None), ('440905567', ' November 2016', 'We got pizza here twice, was quite nice. The first time we paid by credit card and had no problem, the second time we paid cash and were given wrong change, server disappeared very quickly upon giving us our change and by the time we...', None)]"
